State,Mean Time to Complete: Police
Washington,089 days 11:27:02
Utah,078 days 01:48:59
Oklahoma,180 days 03:05:25
Massachusetts,138 days 19:02:45
Illinois,052 days 08:20:59
California,093 days 05:22:11
Arizona,140 days 02:14:54
Georgia,054 days 19:43:34
Idaho,039 days 01:56:27
Iowa,138 days 16:18:57
Kentucky,044 days 09:22:33
Maryland,093 days 12:47:21
Missouri,070 days 00:22:10
Nevada,089 days 14:28:35
New Hampshire,082 days 23:37:20
New Mexico,225 days 02:38:09
North Carolina,108 days 11:04:26
Ohio,085 days 17:55:08
Texas,079 days 07:54:23
Virginia,064 days 09:41:05
West Virginia,109 days 19:33:02
New York,127 days 13:48:43
New Jersey,080 days 21:00:32
Louisiana,109 days 06:34:12
Hawaii,130 days 01:31:49
Wisconsin,090 days 08:49:29
Connecticut,144 days 05:12:24
Colorado,055 days 10:07:04
Rhode Island,021 days 18:08:25
Arkansas,159 days 00:22:15
Florida,078 days 12:37:59
Minnesota,076 days 12:07:58
Alaska,045 days 23:50:43
South Carolina,090 days 05:47:20
Oregon,133 days 18:52:37
Kansas,065 days 22:41:07
Pennsylvania,108 days 01:05:09
Delaware,092 days 13:50:09
Tennessee,107 days 03:04:30
Alabama,232 days 03:20:55
South Dakota,062 days 05:44:08
Michigan,069 days 15:27:39
Indiana,082 days 12:34:49
Mississippi,153 days 05:43:55
North Dakota,077 days 12:11:59
District of Columbia,177 days 07:35:05
Nebraska,047 days 21:00:34
Maine,032 days 00:50:07
Vermont,035 days 11:43:49
Montana,110 days 08:41:50
Wyoming,177 days 17:46:33
Guam,055 days 20:00:00
